trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,10065107,Human PM,Exact,Missing Gene,CDK4 Amplification,,,,,Matches,Not Discussed
1,10101594,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,10220412,Human PM,More Specific,Missing Gene,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,10323080,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,10466061,Human PM,Exact,Missing Gene,CDK4 Amplification,,,,,Matches,Not Discussed
1,10513887,Not PM,,,,,,,,,
1,10587703,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,10634644,Not PM,,,,,,,,,
1,10727978,Not PM,,,,,,,,,
1,10755400,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,10780569,Not PM,,,,,,,,,
1,10792803,Human PM,More Specific,Missing Gene,CDK4 Amplification,,,,,Excludes,Not Discussed
1,10802925,Not PM,,,,,,,,,
1,10981874,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,11071338,Not PM,,,,,,,,,
1,11148443,Not PM,,,,,,,,,
1,11369052,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,11400112,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,11406642,Not PM,,,,,,,,,
1,11419292,Not PM,,,,,,,,,
1,11464131,Not PM,,,,,,,,,
1,11475677,Not PM,,,,,,,,,
1,11505267,Human PM,Exact,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,11564577,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,11687139,Not PM,,,,,,,,,
1,11692442,Not PM,,,,,,,,,
1,11723444,Not PM,,,,,,,,,
1,11757866,Human PM,More Specific,Missing Variant,CDK4 Amplification,,,,,Matches,Not Discussed
1,11927279,Not PM,,,,,,,,,
1,12036902,Not PM,,,,,,,,,
1,12080677,Not PM,,,,,,,,,
1,12137654,Not PM,,,,,,,,,
1,12184463,Not PM,,,,,,,,,
1,12235066,Not PM,,,,,,,,,
1,12242528,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,1233435,Not PM,,,,,,,,,
1,12471362,Not PM,,,,,,,,,
1,12565795,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,12631396,Human PM,More General,Missing Gene,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,12640106,Human PM,More General,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,12641360,Not PM,,,,,,,,,
1,12731669,Not PM,,,,,,,,,
1,12736039,Not PM,,,,,,,,,
1,12860348,Not PM,,,,,,,,,
1,14181025,Not PM,,,,,,,,,
1,1444619,Not PM,,,,,,,,,
1,14501502,Not PM,,,,,,,,,
1,14562008,Not PM,,,,,,,,,
1,14583950,Not PM,,,,,,,,,
1,14621993,Not PM,,,,,,,,,
1,14642430,Not PM,,,,,,,,,
1,14664188,Not PM,,,,,,,,,
1,14694526,Not PM,,,,,,,,,
1,14736600,Human PM,Exact,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,15084775,Not PM,,,,,,,,,
1,15097043,Not PM,,,,,,,,,
1,15122585,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,15146377,Not PM,,,,,,,,,
1,15154619,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,15201968,Not PM,,,,,,,,,
1,15221942,Not PM,,,,,,,,,
1,15314163,Not PM,,,,,,,,,
1,15352912,Not PM,,,,,,,,,
1,15555303,Not PM,,,,,,,,,
1,15663221,Not PM,,,,,,,,,
1,15688424,Not PM,,,,,,,,,
1,15880589,Not PM,,,,,,,,,
1,15912364,Not PM,,,,,,,,,
1,15991843,Human PM,More Specific,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,16146262,Not PM,,,,,,,,,
1,16160477,Not PM,,,,,,,,,
1,16164258,Not PM,,,,,,,,,
1,16167475,Not PM,,,,,,,,,
1,16175441,Not PM,,,,,,,,,
1,16177957,Not PM,,,,,,,,,
1,16288002,Animal PM,Not Disease,Exact,CDK4 Amplification,,,,,Not Discussed,Not Discussed
1,16390226,Not PM,,,,,,,,,
1,16420937,Not PM,,,,,,,,,
1,16489442,Not PM,,,,,,,,,
1,16498358,Not PM,,,,,,,,,
