						
						
A	B-Population					
total	I-Population					
of	I-Population					
67	I-Population					
patients	I-Population					
(	I-Population					
58.3	I-Population					
%	I-Population					
)	I-Population					
had	I-Population					
a	I-Population					
history	I-Population					
of	I-Population					
smoking	L-Population					
.	O					
						
Our	O					
results	O					
showed	O					
that	O					
the	O					
frequency	O					
of	O					
MET	B-Mutation					
amplification	L-Mutation					
in	O					
SCCs	U-Cancer					
was	O					
significantly	O					
higher	O					
compared	O					
to	O					
ADCs	U-Cancer					
(	O					
χ(2)=8.0	O					
","	O					
P=0.005	O					
)	O					
.	O					
						
SOX2	B-Mutation					
showed	I-Mutation					
a	I-Mutation					
markedly	I-Mutation					
preferential	I-Mutation					
amplification	L-Mutation					
in	O					
SCCs	U-Cancer					
compared	O					
to	O					
ADCs	U-Cancer					
in	O					
the	O					
smoking	B-Population					
group	L-Population					
cases	O					
(	O					
P=0.014	O					
)	O					
.	O					
						
Lymph	O					
node	O					
invasion	O					
correlated	O					
with	O					
MET	B-Mutation					
amplification	L-Mutation					
in	O					
SCCs	U-Cancer					
marginally	O					
more	O					
significantly	O					
compared	O					
to	O					
ADCs	U-Cancer					
(	O					
P=0.02	O					
)	O					
.	O					
						
The	O					
amplified	B-Mutation					
MET	L-Mutation					
occurred	O					
more	O					
frequently	O					
in	O					
SCCs	U-Cancer					
compared	O					
to	O					
ADCs	U-Cancer					
correlated	O					
to	O					
tumor	O					
dimension	O					
at	O					
a	O					
small	O					
scale	O					
(	O					
<	O					
5	O					
cm	O					
)	O					
(	O					
P=0.01	O					
)	O					
.	O					
						
No	O					
significant	O					
difference	O					
in	O					
SOX2	B-Mutation					
amplification	L-Mutation					
was	O					
found	O					
with	O					
regards	O					
to	O					
lymph	O					
node	O					
metastasis	O					
or	O					
tumor	O					
dimension	O					
.	O					
						
SOX2	B-Mutation					
and	I-Mutation					
MET	I-Mutation					
amplifications	L-Mutation					
were	O					
not	O					
associated	O					
with	O					
gender	O					
or	O					
age	O					
.	O					
						
However	O					
","	O					
MET	B-Mutation					
amplification	L-Mutation					
in	O					
SCCs	U-Cancer					
among	O					
patients	B-Population					
younger	I-Population					
than	I-Population					
64	I-Population					
years	I-Population					
of	I-Population					
age	L-Population					
was	O					
higher	O					
compared	O					
to	O					
ADCs	U-Cancer					
and	O					
ADSCs	U-Cancer					
(	O					
P=0.03	O					
)	O					
.	O					
						
Among	O					
ADSCs	U-Cancer					
","	O					
MET	U-Mutation					
was	O					
not	O					
amplified	O					
among	O					
patients	B-Population					
who	I-Population					
had	I-Population					
never	I-Population					
been	I-Population					
smokers	I-Population					
or	I-Population					
were	I-Population					
younger	I-Population					
than	I-Population					
64	I-Population					
years	I-Population					
of	I-Population					
age	L-Population					
.	O					
						
Neither	O					
MET	U-Mutation					
nor	O					
SOX2	U-Mutation					
were	O					
amplified	O					
in	O					
