						
Clinicopathologic	O					
factors	O					
identify	O					
sporadic	B-Mutation					
mismatch	I-Mutation					
repair	I-Mutation					
-	I-Mutation					
defective	L-Mutation					
colon	B-Cancer					
cancers	L-Cancer					
.	O					
						
Identification	O					
of	O					
sporadic	B-Mutation					
mismatch	I-Mutation					
repair	I-Mutation					
(	I-Mutation					
MMR)-defective	L-Mutation					
colon	B-Cancer					
cancers	L-Cancer					
is	O					
increasingly	O					
demanded	O					
for	O					
decisions	O					
on	O					
adjuvant	O					
therapies	O					
.	O					
						
We	O					
evaluated	O					
clinicopathologic	O					
factors	O					
for	O					
the	O					
identification	O					
of	O					
these	O					
prognostically	O					
favorable	O					
tumors	O					
.	O					
						
Histopathologic	O					
features	O					
in	O					
238	O					
consecutive	O					
colon	B-Cancer					
cancers	L-Cancer					
were	O					
linked	O					
to	O					
MMR	U-Mutation					
status	O					
based	O					
on	O					
immunostaining	O					
and	O					
BRAF	U-Mutation					
mutation	O					
status	O					
.	O					
						
MMR	B-Mutation					
defects	L-Mutation					
were	O					
identified	O					
in	O					
22.7	O					
%	O					
of	O					
the	O					
tumors	O					
","	O					
with	O					
46	O					
classified	O					
as	O					
sporadic	O					
.	O					
						
When	O					
the	O					
clinical	O					
parameters	O					
of	O					
age	O					
","	O					
sex	O					
","	O					
and	O					
proximal	O					
tumor	O					
location	O					
were	O					
combined	O					
with	O					
the	O					
morphologic	O					
features	O					
with	O					
the	O					
highest	O					
relative	O					
risks	O					
(	O					
RRs	O					
)	O					
","	O					
eg	O					
","	O					
mucinous	O					
differentiation	O					
(	O					
RR	O					
","	O					
9.0	O					
)	O					
","	O					
tumor	O					
-	O					
infiltrating	O					
lymphocytes	O					
(	O					
RR	O					
","	O					
7.5	O					
)	O					
","	O					
absence	O					
of	O					
necrosis	O					
(	O					
RR	O					
","	O					
7.5	O					
)	O					
","	O					
and	O					
expanding	O					
growth	O					
pattern	O					
(	O					
RR	O					
","	O					
5.0	O					
)	O					
into	O					
a	O					
7-factor	O					
index	O					
","	O					
the	O					
presence	O					
of	O					
at	O					
least	O					
4	O					
features	O					
identified	O					
the	O					
MMR	B-Mutation					
-	I-Mutation					
defective	L-Mutation					
tumors	O					
with	O					
92.3	O					
